Time;Frame;Speed;DistanceToOptimalPath;Position;Rotation;SteeringInput;UpcomingOperation;ThrottleInput;BrakeInput;TrackProgress
0;104;2,161813;1000;(0.000, 0.081, -58.597);(359.728, 0.064, 0.000);0;Left;1;2800;Unkown
0;105;2,22759;1000;(0.000, 0.081, -58.553);(359.726, 0.064, 0.000);0;Left;1;2800;Unkown
0;106;2,293325;1000;(0.000, 0.081, -58.506);(359.725, 0.064, 0.000);0;Left;1;2800;Unkown
0;107;2,358767;1000;(0.000, 0.081, -58.455);(359.724, 0.064, 0.000);0;Left;0,9345301;2800;Unkown
0;108;2,424643;1000;(0.000, 0.081, -58.399);(359.723, 0.064, 0.000);0;Left;0,8638162;2800;Unkown
0;109;2,490512;1000;(0.000, 0.081, -58.343);(359.723, 0.064, 0.000);0;Left;0,7958485;2800;Unkown
0;110;2,556327;1000;(0.000, 0.081, -58.278);(359.723, 0.064, 0.000);0;Left;0,7193644;2800;Unkown
0;111;2,686665;1000;(0.000, 0.081, -58.215);(359.723, 0.064, 0.000);0;Left;0,6465112;2800;Unkown
0;112;2,751226;1000;(0.000, 0.081, -58.148);(359.724, 0.064, 0.000);0;Left;0,5723125;2800;Unkown
0;113;2,814809;1000;(0.001, 0.081, -58.087);(359.725, 0.064, 0.000);0;Left;0,5069902;2800;Unkown
0;114;2,876082;1000;(0.001, 0.081, -58.023);(359.727, 0.064, 0.000);0;Left;0,4392142;2800;Unkown
0;115;2,93323;1000;(0.001, 0.081, -57.952);(359.732, 0.064, 0.000);0;Left;0,3664984;2800;Unkown
0;116;3,028382;1000;(0.001, 0.081, -57.869);(359.743, 0.064, 0.000);0;Left;0,2829478;2800;Unkown
0;117;3,06464;1000;(0.001, 0.081, -57.795);(359.759, 0.064, 0.000);0;Left;0,2098003;2800;Unkown
0;118;3,094485;1000;(0.001, 0.082, -57.713);(359.785, 0.064, 0.000);0;Left;0,1299772;2800;Unkown
0;119;3,138576;1000;(0.001, 0.082, -57.633);(359.817, 0.064, 0.000);0;Left;0,05189589;2800;Unkown
0;120;3,156391;1000;(0.001, 0.082, -57.551);(359.853, 0.064, 0.000);0;Left;0;2800;Unkown
0;121;3,168629;1000;(0.001, 0.082, -57.479);(359.885, 0.064, 0.000);0;Left;0;2800;Unkown
0;122;3,175024;1000;(0.001, 0.083, -57.402);(359.918, 0.064, 0.000);0;Left;0;2800;Unkown
0;123;3,178072;1000;(0.001, 0.083, -57.327);(359.948, 0.064, 0.000);0;Left;0;2800;Unkown
0;124;3,178033;1000;(0.001, 0.083, -57.248);(359.977, 0.064, 0.000);0;Left;0;2800;Unkown
0;125;3,175996;1000;(0.002, 0.083, -57.175);(-0.001, 0.064, 0.000);0;Left;0;2800;Unkown
0;126;3,173036;1000;(0.002, 0.084, -57.080);(0.021, 0.064, 0.000);0;Left;0;2800;Unkown
0;127;3,165179;1000;(0.002, 0.084, -56.991);(0.034, 0.064, 0.000);0;Left;0;2800;Unkown
0;128;3,160506;1000;(0.002, 0.084, -56.910);(0.039, 0.064, 0.000);0;Left;0;2800;Unkown
0;129;3,155377;1000;(0.002, 0.084, -56.835);(0.041, 0.064, 0.000);0;Left;0;2800;Unkown
0;130;3,149819;1000;(0.002, 0.084, -56.767);(0.040, 0.064, 0.000);0;Left;0;2800;Unkown
0;131;3,143857;1000;(0.002, 0.084, -56.692);(0.038, 0.064, 0.000);0;Left;0;2800;Unkown
0;132;3,130817;1000;(0.002, 0.084, -56.618);(0.034, 0.064, 0.000);0;Left;0;2800;Unkown
0;133;3,123786;1000;(0.002, 0.084, -56.541);(0.031, 0.064, 0.000);0;Left;0;2800;Unkown
0;134;3,116442;1000;(0.002, 0.084, -56.468);(0.028, 0.064, 0.000);0;Left;0;2800;Unkown
0;135;3,100894;1000;(0.002, 0.084, -56.373);(0.026, 0.064, 0.000);0;Left;0;2800;Unkown
0;136;3,092727;1000;(0.003, 0.084, -56.290);(0.026, 0.064, 0.000);0;Left;0;2800;Unkown
0;137;3,084321;1000;(0.003, 0.084, -56.227);(0.026, 0.064, 0.000);0;Left;0;2800;Unkown
0;138;3,075691;1000;(0.003, 0.084, -56.157);(0.028, 0.064, 0.000);0;Left;0;2800;Unkown
0;139;3,067083;1000;(0.003, 0.084, -56.088);(0.029, 0.064, 0.000);0;Left;0;2800;Unkown
0;140;3,058594;1000;(0.003, 0.084, -56.021);(0.031, 0.064, 0.000);0;Left;0;2800;Unkown
0;141;3,050203;1000;(0.003, 0.084, -55.955);(0.032, 0.064, 0.000);0;Left;0;2800;Unkown
0;142;3,041907;1000;(0.003, 0.084, -55.883);(0.034, 0.064, 0.000);0;Left;0;2800;Unkown
0;143;3,025591;1000;(0.003, 0.084, -55.793);(0.035, 0.064, 0.000);0;Left;0;2800;Unkown
0;144;3,017566;1000;(0.003, 0.084, -55.710);(0.035, 0.064, 0.000);0;Left;0;2800;Unkown
0;145;3,009628;1000;(0.003, 0.084, -55.642);(0.035, 0.064, 0.000);0;Left;0;2800;Unkown
0;146;3,001774;1000;(0.003, 0.084, -55.582);(0.035, 0.064, 0.000);0;Left;0;2800;Unkown
0;147;2,986313;1000;(0.003, 0.084, -55.502);(0.034, 0.064, 0.000);0;Left;0;2800;Unkown
0;148;2,978703;1000;(0.003, 0.084, -55.434);(0.033, 0.064, 0.000);0;Left;0;2800;Unkown
0;149;2,971169;1000;(0.004, 0.084, -55.369);(0.032, 0.064, 0.000);0;Left;0;2800;Unkown
0;150;2,963711;1000;(0.004, 0.084, -55.290);(0.031, 0.064, 0.000);0;Left;0;2800;Unkown
0;151;2,949015;1000;(0.004, 0.084, -55.215);(0.030, 0.064, 0.000);0;Left;0;2800;Unkown
0;152;2,941773;1000;(0.004, 0.084, -55.136);(0.029, 0.064, 0.000);0;Left;0;2800;Unkown
0;153;2,9346;1000;(0.004, 0.084, -55.070);(0.029, 0.064, 0.000);0;Left;0;2800;Unkown
0;154;2,927493;1000;(0.004, 0.084, -55.005);(0.029, 0.064, 0.000);0;Left;0;2800;Unkown
0;155;2,920452;1000;(0.004, 0.084, -54.934);(0.028, 0.064, 0.000);0;Left;0;2800;Unkown
0;156;2,906558;1000;(0.004, 0.084, -54.867);(0.028, 0.064, 0.000);0;Left;0;2800;Unkown
0;157;2,899703;1000;(0.004, 0.084, -54.790);(0.028, 0.064, 0.000);0;Left;0;2800;Unkown
0;158;2,892907;1000;(0.004, 0.084, -54.720);(0.027, 0.064, 0.000);0;Left;0;2800;Unkown
0;159;2,879488;1000;(0.004, 0.084, -54.622);(0.027, 0.064, 0.000);0;Left;0;2800;Unkown
0;160;2,872862;1000;(0.004, 0.084, -54.543);(0.027, 0.064, 0.000);0;Left;0;2800;Unkown
0;161;2,866291;1000;(0.005, 0.084, -54.473);(0.027, 0.064, 0.000);0;Left;0;2800;Unkown
0;162;2,853306;1000;(0.005, 0.084, -54.409);(0.027, 0.064, 0.000);0;Left;0;2800;Unkown
0;163;2,84689;1000;(0.005, 0.084, -54.343);(0.026, 0.064, 0.000);0;Left;0;2800;Unkown
