Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftEyePupilSize;RightEyeStatus;RightEyeForward;RightEyePosition;RightEyePupilSize;FocusDistance;FocusStability
32396;1000003933095157600;63731540519211;(-0.289, -0.174, -0.204);(13.250, 11.355, 2.668);VALID;-0.0786183103919029, 0.096413217484951, 0.992231667041779;0, 0, 0;VALID;-0.0644397661089897, 0.0946747958660126, 0.993420481681824;-0.0323067493736744, 0, 0;0.195833563804626;VALID;-0.092780701816082, 0.0981318280100822, 0.990839004516602;0.0323067493736744, 0, 0;0.199649319052696;2;0
32397;1000003933105337100;63731540519231;(-0.289, -0.174, -0.204);(13.266, 11.353, 2.651);VALID;-0.0789761692285538, 0.0966112986207008, 0.992183983325958;0, 0, 0;VALID;-0.0651670470833778, 0.0949120372533798, 0.993350386619568;-0.0323067493736744, 0, 0;0.195779547095299;VALID;-0.0927698984742165, 0.0982917323708534, 0.990824162960052;0.0323067493736744, 0, 0;0.199720799922943;2;0
32398;1000003933115340200;63731540519231;(-0.289, -0.174, -0.204);(13.266, 11.353, 2.651);VALID;-0.0792250782251358, 0.097051702439785, 0.992121160030365;0, 0, 0;VALID;-0.0658048167824745, 0.0951742231845856, 0.993283212184906;-0.0323067493736744, 0, 0;0.195692762732506;VALID;-0.0926306843757629, 0.0989112257957459, 0.990775525569916;0.0323067493736744, 0, 0;0.197828486561775;2;0
32399;1000003933125302400;63731540519253;(-0.289, -0.174, -0.204);(13.245, 11.343, 2.644);VALID;-0.079268291592598, 0.0971394553780556, 0.99210911989212;0, 0, 0;VALID;-0.0660305023193359, 0.0951270014047623, 0.99327278137207;-0.0323067493736744, 0, 0;0.195668444037437;VALID;-0.0924917608499527, 0.0991343706846237, 0.990766167640686;0.0323067493736744, 0, 0;0.197254359722137;2;0
32400;1000003933135341700;63731540519253;(-0.289, -0.174, -0.204);(13.245, 11.343, 2.644);VALID;-0.0792026445269585, 0.0972346663475037, 0.992105007171631;0, 0, 0;VALID;-0.0659570246934891, 0.0951374173164368, 0.993276655673981;-0.0323067493736744, 0, 0;0.194917783141136;VALID;-0.0924339145421982, 0.0993143022060394, 0.990753591060638;0.0323067493736744, 0, 0;0.199162274599075;2;0
32401;1000003933145339800;63731540519274;(-0.289, -0.174, -0.204);(13.223, 11.359, 2.642);VALID;-0.0794219970703125, 0.0974670425057411, 0.992064654827118;0, 0, 0;VALID;-0.0665093958377838, 0.0953879356384277, 0.993215799331665;-0.0323067493736744, 0, 0;0.194196343421936;VALID;-0.092320904135704, 0.0995293483138084, 0.99074250459671;0.0323067493736744, 0, 0;0.199193820357323;2;0
32402;1000003933155364500;63731540519274;(-0.289, -0.174, -0.204);(13.223, 11.359, 2.642);VALID;-0.0795412734150887, 0.0975571647286415, 0.992046236991882;0, 0, 0;VALID;-0.0665883868932724, 0.0956341549754143, 0.993186831474304;-0.0323067493736744, 0, 0;0.19448921084404;VALID;-0.0924804210662842, 0.0994633138179779, 0.990734279155731;0.0323067493736744, 0, 0;0.198565989732742;2;0
32403;1000003933165388900;63731540519294;(-0.289, -0.174, -0.203);(13.179, 11.391, 2.667);VALID;-0.0797753855586052, 0.0978023707866669, 0.992003321647644;0, 0, 0;VALID;-0.0672341883182526, 0.096030168235302, 0.993105113506317;-0.0323067493736744, 0, 0;0.194949805736542;VALID;-0.0923036858439446, 0.0995587557554245, 0.990741193294525;0.0323067493736744, 0, 0;0.199623927474022;2;0.170606225728989
32404;1000003933175465500;63731540519294;(-0.289, -0.174, -0.203);(13.179, 11.391, 2.667);VALID;-0.0799333676695824, 0.0980749130249023, 0.991963684558868;0, 0, 0;VALID;-0.0677942112088203, 0.0963690802454948, 0.993034183979034;-0.0323067493736744, 0, 0;0.194982692599297;VALID;-0.0920604169368744, 0.0997658967971802, 0.990742981433868;0.0323067493736744, 0, 0;0.199143543839455;2;0.461208373308182
32405;1000003933185436200;63731540519315;(-0.289, -0.174, -0.203);(13.164, 11.413, 2.682);VALID;-0.0799834206700325, 0.0982536673545837, 0.99194198846817;0, 0, 0;VALID;-0.0681697055697441, 0.0964201688766479, 0.99300354719162;-0.0323067493736744, 0, 0;0.195225208997726;VALID;-0.0917856097221375, 0.100073009729385, 0.990737497806549;0.0323067493736744, 0, 0;0.19733077287674;2;0.702374577522278
32406;1000003933195516500;63731540519315;(-0.289, -0.174, -0.203);(13.164, 11.413, 2.682);VALID;-0.0796327739953995, 0.0984380021691322, 0.991951882839203;0, 0, 0;VALID;-0.0676237642765045, 0.0966574996709824, 0.993017792701721;-0.0323067493736744, 0, 0;0.195635989308357;VALID;-0.0916299521923065, 0.100203886628151, 0.990738689899445;0.0323067493736744, 0, 0;0.197536811232567;2;0.863653600215912
32407;1000003933205488400;63731540519336;(-0.289, -0.174, -0.203);(13.156, 11.417, 2.692);VALID;-0.079328253865242, 0.0985382944345474, 0.991966366767883;0, 0, 0;VALID;-0.0671846941113472, 0.0969081521034241, 0.993023157119751;-0.0323067493736744, 0, 0;0.1954705119133;VALID;-0.0914598181843758, 0.100153535604477, 0.990759491920471;0.0323067493736744, 0, 0;0.199089273810387;2;0.985518634319305
32408;1000003933215477400;63731540519336;(-0.289, -0.174, -0.203);(13.156, 11.417, 2.692);VALID;-0.0794151723384857, 0.0985322222113609, 0.991959989070892;0, 0, 0;VALID;-0.0674856752157211, 0.0970483422279358, 0.992989063262939;-0.0323067493736744, 0, 0;0.195458710193634;VALID;-0.0913331061601639, 0.100001759827137, 0.990786492824554;0.0323067493736744, 0, 0;0.197288572788239;2;1
32409;1000003933225514900;63731540519336;(-0.289, -0.174, -0.203);(13.156, 11.417, 2.692);VALID;-0.0795253738760948, 0.098496288061142, 0.991954743862152;0, 0, 0;VALID;-0.0678481757640839, 0.0969695746898651, 0.992972075939178;-0.0323067493736744, 0, 0;0.194280877709389;VALID;-0.0911914706230164, 0.100009240210056, 0.990798830986023;0.0323067493736744, 0, 0;0.196662843227386;2;1
32410;1000003933235493600;63731540519356;(-0.289, -0.174, -0.203);(13.145, 11.419, 2.691);VALID;-0.0795563906431198, 0.0984853431582451, 0.991953313350677;0, 0, 0;VALID;-0.0681644305586815, 0.0968724489212036, 0.992959916591644;-0.0323067493736744, 0, 0;0.195214048027992;VALID;-0.0909377411007881, 0.100085109472275, 0.990814447402954;0.0323067493736744, 0, 0;0.196763426065445;2;1
32411;1000003933245545400;63731540519356;(-0.289, -0.174, -0.203);(13.145, 11.419, 2.691);VALID;-0.0796988531947136, 0.0984940081834793, 0.991941034793854;0, 0, 0;VALID;-0.0686422362923622, 0.0968068167567253, 0.992933392524719;-0.0323067493736744, 0, 0;0.193816557526588;VALID;-0.0907454267144203, 0.100168786942959, 0.99082362651825;0.0323067493736744, 0, 0;0.196925446391106;2;1
32412;1000003933255599800;63731540519376;(-0.289, -0.174, -0.203);(13.137, 11.415, 2.693);VALID;-0.0797979533672333, 0.0984127297997475, 0.991941154003143;0, 0, 0;VALID;-0.0690478086471558, 0.0967459827661514, 0.992911159992218;-0.0323067493736744, 0, 0;0.193837106227875;VALID;-0.0905385836958885, 0.100067734718323, 0.990852773189545;0.0323067493736744, 0, 0;0.196819230914116;2;1
32413;1000003933265636400;63731540519376;(-0.289, -0.174, -0.203);(13.137, 11.415, 2.693);VALID;-0.0797579288482666, 0.0983096212148666, 0.991954565048218;0, 0, 0;VALID;-0.069232165813446, 0.0965832769870758, 0.992914199829102;-0.0323067493736744, 0, 0;0.194462284445763;VALID;-0.0902745351195335, 0.100024685263634, 0.990881204605103;0.0323067493736744, 0, 0;0.196744471788406;2;1
32414;1000003933275597800;63731540519397;(-0.289, -0.174, -0.203);(13.145, 11.391, 2.688);VALID;-0.0798257067799568, 0.0982403308153152, 0.991955995559692;0, 0, 0;VALID;-0.0695687383413315, 0.0965062156319618, 0.992898166179657;-0.0323067493736744, 0, 0;0.193916767835617;VALID;-0.0900739580392838, 0.0999637320637703, 0.99090564250946;0.0323067493736744, 0, 0;0.196719706058502;2;1
32415;1000003933285549800;63731540519397;(-0.289, -0.174, -0.203);(13.145, 11.391, 2.688);VALID;-0.0798485428094864, 0.0982044786214828, 0.991957724094391;0, 0, 0;VALID;-0.0697127655148506, 0.0964835733175278, 0.992890238761902;-0.0323067493736744, 0, 0;0.194606631994247;VALID;-0.0899758115410805, 0.0999149158596992, 0.990919470787048;0.0323067493736744, 0, 0;0.196530386805534;2;1
32416;1000003933295604300;63731540519416;(-0.289, -0.174, -0.203);(13.172, 11.354, 2.659);VALID;-0.079773798584938, 0.0981241166591644, 0.991971671581268;0, 0, 0;VALID;-0.069767564535141, 0.0964067429304123, 0.992893874645233;-0.0323067493736744, 0, 0;0.194692477583885;VALID;-0.0897717475891113, 0.0998312830924988, 0.990946412086487;0.0323067493736744, 0, 0;0.196740046143532;2;1
32417;1000003933305583100;63731540519417;(-0.289, -0.174, -0.203);(13.172, 11.354, 2.659);VALID;-0.0797024518251419, 0.0981570854783058, 0.991974174976349;0, 0, 0;VALID;-0.0698465406894684, 0.0963757559657097, 0.992891311645508;-0.0323067493736744, 0, 0;0.194303274154663;VALID;-0.089550293982029, 0.0999284908175468, 0.990956604480743;0.0323067493736744, 0, 0;0.196899130940437;2;1
