Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability;FocusName
422369;1000095928399496339;63853880424888;(-0.305, 0.826, 0.361);(0.035, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422389;1000095928499535503;63853880424975;(-0.305, 0.826, 0.362);(0.036, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422409;1000095928599571750;63853880425086;(-0.305, 0.826, 0.361);(0.036, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422429;1000095928699614972;63853880425176;(-0.305, 0.826, 0.361);(0.036, -0.048, -0.004, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422449;1000095928799654770;63853880425287;(-0.305, 0.826, 0.361);(0.035, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422469;1000095928899692646;63853880425376;(-0.305, 0.826, 0.361);(0.035, -0.048, -0.004, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422489;1000095928999727397;63853880425487;(-0.305, 0.826, 0.361);(0.035, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422509;1000095929099769551;63853880425576;(-0.305, 0.826, 0.361);(0.035, -0.048, -0.004, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422529;1000095929199808058;63853880425687;(-0.305, 0.827, 0.361);(0.035, -0.048, -0.004, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422549;1000095929299844757;63853880425776;(-0.305, 0.826, 0.361);(0.035, -0.048, -0.004, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422569;1000095929399886894;63853880425887;(-0.305, 0.826, 0.361);(0.035, -0.048, -0.004, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422589;1000095929499927843;63853880425977;(-0.305, 0.826, 0.361);(0.035, -0.048, -0.004, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422609;1000095929599964730;63853880426086;(-0.305, 0.827, 0.361);(0.036, -0.048, -0.004, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
