Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
2002000;1000010069505180015;63851478355895;(-0.498, 0.828, 0.228);(-0.013, 0.872, -0.015, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2002020;1000010069605231204;63851478355994;(-0.498, 0.828, 0.228);(-0.013, 0.872, -0.015, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2002040;1000010069705278221;63851478356093;(-0.498, 0.828, 0.228);(-0.013, 0.872, -0.015, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2002060;1000010069805319624;63851478356193;(-0.498, 0.828, 0.228);(-0.013, 0.872, -0.015, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2002080;1000010069905361526;63851478356294;(-0.498, 0.828, 0.228);(-0.013, 0.872, -0.015, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2002100;1000010070005410233;63851478356393;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.015, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2002120;1000010070105455817;63851478356494;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.015, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2002140;1000010070205499410;63851478356594;(-0.498, 0.828, 0.228);(-0.013, 0.872, -0.015, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2002160;1000010070305543531;63851478356693;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.015, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2002180;1000010070405587426;63851478356794;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.015, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
